Block Length,Block Swap,Average Difference,Average Difference MSE,Average Difference MAPE
3,2,0.01545668609148556,0.0009794631876796482,0.07352279552146349
3,3,0.025652045916858074,0.003438458451551832,0.12188777190788519
3,4,0.035487705640071594,0.006382282031936227,0.15621563874173186
4,2,0.010430503351583567,0.0002952746950582294,0.039712305313541515
4,3,0.0206678995787173,0.0016703059234065914,0.0790171402789313
4,4,0.02441906474209099,0.002009343342541241,0.10294719696893184
5,2,0.006744739370874297,0.0001334799268871868,0.021100431079369084
5,3,0.017528474452636705,0.0012085534982301134,0.045357534586977305
5,4,0.021849267092628022,0.001657657508879283,0.08452526128333186
